Article,Link,Date
十三届全国政协教科卫体委员会副主任刘慧接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202507/t20250718_435373.html,2025-07-18
陕西省西安市人大常委会党组书记、主任韩松接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202507/t20250714_434374.html,2025-07-14
湖北省政协原党组成员、副主席周先旺接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202507/t20250708_433089.html,2025-07-08
原中国中化集团有限公司党组成员、副总经理冯志斌接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202507/t20250704_432566.html,2025-07-04
中国东方航空集团有限公司原党组书记、董事长刘绍勇接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202506/t20250628_431325.html,2025-06-28
海南省委常委、秘书长倪强接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202506/t20250625_430717.html,2025-06-25
国家中医药管理局原局长于文明接受国家监委监察调查,https://www.ccdi.gov.cn/toutiaon/202506/t20250622_430023.html,2025-06-22
江西省政协原党组成员、副主席胡幼桃接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202506/t20250619_429652.html,2025-06-19
广西壮族自治区政协原党组成员、副主席彭晓春接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202506/t20250616_428784.html,2025-06-16
交通运输部党组成员，国家铁路局党组书记、局长费东斌接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202506/t20250612_428314.html,2025-06-12
原中央防范和处理邪教问题领导小组办公室副主任高以忱接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202506/t20250609_427467.html,2025-06-09
十四届全国政协常委、经济委员会副主任毕井泉接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202505/t20250529_425837.html,2025-05-29
国家国防科技工业局原党组成员、副局长张建华接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202505/t20250528_425418.html,2025-05-28
陕西省政协副主席刘宽忍接受国家监委监察调查,https://www.ccdi.gov.cn/toutiaon/202505/t20250525_424844.html,2025-05-25
四川省政府党组成员、副省长、省公安厅厅长叶寒冰接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202505/t20250521_424132.html,2025-05-21
广西壮族自治区党委副书记、自治区政府主席蓝天立接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202505/t20250516_423287.html,2025-05-16
国家林业和草原局原党组成员、副局长李春良接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202505/t20250513_422609.html,2025-05-13
中国一重集团有限公司党委常委、副总经理陆文俊接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202505/t20250509_422021.html,2025-05-09
中国证券监督管理委员会党委委员、副主席王建军接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202504/t20250430_420820.html,2025-04-30
四川省人大常委会原党组成员、副主任宋朝华接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202504/t20250425_419509.html,2025-04-25
十四届全国政协教科卫体委员会副主任杨小伟接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202504/t20250417_417614.html,2025-04-17
山西省委副书记、省长金湘军接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202504/t20250412_416626.html,2025-04-12
江苏省南京市人大常委会党组书记、主任龙翔接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202504/t20250403_415016.html,2025-04-03
重庆市政协党组成员、副主席段成刚接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202503/t20250331_414176.html,2025-03-31
国家发展和改革委员会原党组成员、副主任徐宪平接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202503/t20250327_413528.html,2025-03-27
