Article,Link,Date
中央纪委国家监委驻中国证券监督管理委员会纪检监察组原组长、中国证券监督管理委员会原党...,https://www.ccdi.gov.cn/toutiaon/202503/t20250321_412525.html,2025-03-21
云南省人大常委会党组成员、副主任李文荣接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202503/t20250318_411607.html,2025-03-18
天津市委常委、组织部部长周德睿接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202503/t20250313_410741.html,2025-03-13
中国海洋石油集团有限公司原党组成员、副总经理袁光宇接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202503/t20250301_408395.html,2025-03-01
国家药品监督管理局原党组成员、副局长陈时飞接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202502/t20250226_407727.html,2025-02-26
十四届全国人大常委会委员、农业与农村委员会副主任委员蒋超良接受中央纪委国家监委纪律审...,https://www.ccdi.gov.cn/toutiaon/202502/t20250221_406997.html,2025-02-21
内蒙古自治区政协原党组副书记、副主席王中和接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202502/t20250216_405559.html,2025-02-16
中国兵器装备集团有限公司党组成员、副总经理刘卫东接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202502/t20250212_404829.html,2025-02-12
安徽省政协党组成员、副主席周喜安接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202502/t20250206_403524.html,2025-02-06
十四届全国政协常委、农业和农村委员会副主任齐扎拉接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202501/t20250123_402121.html,2025-01-23
国家烟草专卖局原党组成员、副局长张天峰接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202501/t20250117_401001.html,2025-01-17
广西壮族自治区人大常委会党组成员、副主任，桂林市委书记周家斌接受中央纪委国家监委纪律...,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202412/t20241228_397234.html,2024-12-28
中国大唐集团有限公司原党组副书记、总经理寇伟接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202412/t20241222_395693.html,2024-12-21
山西省政协党组书记、主席吴存荣接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202412/t20241216_394474.html,2024-12-16
青海省政协党组成员、副主席马丰胜接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202412/t20241211_393429.html,2024-12-11
海南省委常委、海口市委书记罗增斌接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202412/t20241206_392469.html,2024-12-06
上海市委常委、浦东新区区委书记朱芝松接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202411/t20241127_390494.html,2024-11-27
中国建设银行原党委委员、副行长章更生接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202411/t20241108_386584.html,2024-11-08
重庆市委常委、政法委书记陆克华接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202411/t20241104_385249.html,2024-11-04
甘肃省政府副省长赵金云接受国家监委监察调查,https://www.ccdi.gov.cn/toutiaon/202410/t20241025_383404.html,2024-10-25
十三届全国政协经济委员会副主任张效廉接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202410/t20241021_382342.html,2024-10-21
河南省人大常委会原党组副书记、副主任刘满仓接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202410/t20241017_381590.html,2024-10-17
青海省委常委、政法委书记杨发森接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202410/t20241014_380921.html,2024-10-14
海南省纪委副书记、省监委副主任陈笑波接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202410/t20241010_379911.html,2024-10-10
宁夏回族自治区政协原党组书记、主席齐同生接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202410/t20241008_379378.html,2024-10-08
中央纪委国家监委驻中央组织部纪检监察组组长李刚接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202409/t20240930_379028.html,2024-09-30
中国联合网络通信集团有限公司党组成员、副总经理曹兴信接受中央纪委国家监委纪律审查和监...,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202409/t20240928_378400.html,2024-09-28
海关总署党委委员、副署长孙玉宁接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202409/t20240924_377388.html,2024-09-24
教育部原党组副书记、副部长杜玉波接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202409/t20240918_375837.html,2024-09-18
中国航空工业集团有限公司原党组书记、董事长谭瑞松接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202408/t20240830_372038.html,2024-08-30
四川省政协原党组副书记、副主席崔保华接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202408/t20240827_371047.html,2024-08-27
十四届全国政协人口资源环境委员会副主任李微微接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202407/t20240729_364692.html,2024-07-29
十三届全国人大华侨委员会副主任委员罗保铭接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202407/t20240725_364054.html,2024-07-25
云南省委常委，省政府党组副书记、副省长李石松接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202406/t20240625_357151.html,2024-06-25
中央宣传部副部长张建春接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202406/t20240621_356603.html,2024-06-21
江西省人大常委会原党组副书记、副主任洪礼和接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202406/t20240619_355783.html,2024-06-19
十四届全国政协常委、文化文史和学习委员会主任吴英杰接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202406/t20240616_355052.html,2024-06-16
甘肃省政府原党组成员、副省长杨子兴接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202406/t20240612_354358.html,2024-06-12
中国中信集团有限公司党委委员、副总经理徐佐接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202406/t20240609_353823.html,2024-06-09
内蒙古自治区人大常委会原党组副书记、副主任王波接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202406/t20240603_352314.html,2024-06-03
十四届全国政协常委、民族和宗教委员会副主任苟仲文接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202405/t20240530_351617.html,2024-05-30
国家烟草专卖局党组成员、副局长徐𬎆接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202405/t20240529_351293.html,2024-05-25
海南省人大常委会党组副书记、副主任刘星泰接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202405/t20240522_349564.html,2024-05-22
江苏省政协党组成员、副主席王昊接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202405/t20240520_349136.html,2024-05-20
农业农村部党组书记、部长唐仁健接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202405/t20240518_348888.html,2024-05-18
中国农业银行原党委委员、副行长楼文龙接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202405/t20240516_348507.html,2024-05-16
司法部原党组成员、副部长刘志强接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202404/t20240430_345306.html,2024-04-30
北京市政府党组成员、副市长高朋接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202404/t20240421_342816.html,2024-04-21
广西壮族自治区党委原常委、自治区政府原副主席秦如培接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202404/t20240416_341559.html,2024-04-16
内蒙古自治区人大常委会原党组副书记、副主任杜梓接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202404/t20240415_341196.html,2024-04-15
中国电子科技集团有限公司党组成员、副总经理何文忠接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202404/t20240407_339375.html,2024-04-07
贵州省纪委副书记、省监委副主任张平接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202404/t20240403_339059.html,2024-04-03
江西省政协党组书记、主席唐一军接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202404/t20240402_338566.html,2024-04-02
贵州省政协党组成员、副主席陈晏接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202403/t20240325_336782.html,2024-03-25
台盟中央常务副主席李钺锋接受国家监委监察调查,https://www.ccdi.gov.cn/toutiaon/202403/t20240323_336494.html,2024-03-23
新疆维吾尔自治区政协党组成员、副主席窦万贵接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202403/t20240320_335633.html,2024-03-20
第十三届全国政协委员刘跃进（副部长级）接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202403/t20240318_335129.html,2024-03-18
黑龙江省人大常委会党组成员、副主任李显刚接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202403/t20240317_334834.html,2024-03-17
中国海洋石油集团有限公司原党组副书记、总经理李勇接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202403/t20240315_334677.html,2024-03-15
国家开发银行原党委委员、副行长李吉平接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202403/t20240313_334023.html,2024-03-13
云南省政府原党组成员、副省长张祖林接受中央纪委国家监委审查调查,https://www.ccdi.gov.cn/toutiaon/202403/t20240301_331613.html,2024-03-01
江西省政协原党组成员、副主席胡强接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202402/t20240221_329292.html,2024-02-21
中国南方电网有限责任公司党组成员、纪检监察组组长龙飞接受中央纪委国家监委纪律审查和监...,https://www.ccdi.gov.cn/toutiaon/202402/t20240205_327227.html,2024-02-05
中国石油天然气集团有限公司原党组书记、董事长王宜林接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202402/t20240202_326497.html,2024-02-02
西藏自治区政府党组成员、副主席王勇接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202401/t20240129_325360.html,2024-01-29
湖南省政协原党组副书记、副主席戴道晋接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202401/t20240126_324918.html,2024-01-26
福建省人大常委会原党组副书记、副主任苏增添接受中央纪委国家监委审查调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202401/t20240121_323527.html,2024-01-21
湖南省人大常委会党组成员、副主任彭国甫接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202401/t20240110_321173.html,2024-01-10
中国地质调查局原党组书记、局长钟自然接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202401/t20240102_319010.html,2024-01-02
新疆维吾尔自治区党委原副书记李鹏新接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202312/t20231211_313481.html,2023-12-11
河北省纪委副书记、省监委副主任陈玉祥接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202312/t20231209_313308.html,2023-12-09
黑龙江省委常委、副省长王一新接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202312/t20231208_313084.html,2023-12-08
四川省政协原党组成员、副主席杨克宁接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202311/t20231116_308079.html,2023-11-16
中粮集团有限公司原党组成员、副总经理周政接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202311/t20231108_306102.html,2023-11-08
中国工商银行原党委委员、副行长张红力接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202311/t20231104_305122.html,2023-11-04
国家烟草专卖局原党组书记、局长凌成兴接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202310/t20231023_302057.html,2023-10-23
广西壮族自治区人大常委会原党组副书记、副主任张秀隆接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202310/t20231021_301827.html,2023-10-21
陕西省政协原党组书记、主席韩勇接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/yaowenn/202310/t20231019_301459.html,2023-10-19
黑龙江省政协党组成员、副主席李海涛接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202309/t20230916_294153.html,2023-09-16
中国工商银行原党委委员、纪委书记刘立宪接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/yaowenn/202309/t20230915_294049.html,2023-09-15
最高人民法院审判委员会原委员、民事审判第一庭原庭长郑学林接受中央纪委国家监委纪律审查...,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202309/t20230907_291980.html,2023-09-07
山西省委副书记商黎光接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202309/t20230905_291022.html,2023-09-05
贵州省委原书记孙志刚接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202308/t20230828_289184.html,2023-08-28
北京航空航天大学党委常委、副校长张广接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202308/t20230806_280846.html,2023-08-06
国家开发银行原党委委员、副行长王用生接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202307/t20230720_276946.html,2023-07-20
中国太平保险集团有限责任公司党委委员、副总经理肖星接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202307/t20230718_276344.html,2023-07-18
中国光大集团股份公司原党委书记、董事长唐双宁接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202307/t20230717_275865.html,2023-07-15
上海市人大常委会党组书记、主任董云虎接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202307/t20230712_274881.html,2023-07-12
广东省人大常委会原党组成员、副主任陈继兴接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202307/t20230709_274214.html,2023-07-09
西藏自治区政协党组成员、副主席姜杰接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202307/t20230703_273213.html,2023-07-03
中国石油天然气集团有限公司原党组副书记、副总经理徐文荣接受中央纪委国家监委纪律审查和...,https://www.ccdi.gov.cn/toutiaon/202306/t20230625_271439.html,2023-06-25
黑龙江省政协副主席曲敏接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202306/t20230614_269782.html,2023-06-14
陕西省人大常委会原副主任李金柱接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202305/t20230529_266888.html,2023-05-29
国家开发银行原党委委员、副行长周清玉接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202305/t20230519_265123.html,2023-05-19
国务院国资委原副部长级干部骆玉林接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202305/t20230517_264539.html,2023-05-17
重庆市政府党组成员、原副市长熊雪接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202305/t20230511_263622.html,2023-05-11
浙江省政协党组成员、副主席朱从玖接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202305/t20230504_262227.html,2023-05-04
江苏省人大常委会原党组成员、副主任刘捍东接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202304/t20230416_258898.html,2023-04-16
中国光大集团股份公司原党委书记、董事长李晓鹏接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202304/t20230405_256785.html,2023-04-05
国家体育总局党组成员、副局长杜兆才接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202304/t20230401_256238.html,2023-04-01
中国银行原党委书记、董事长刘连舸接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202303/t20230331_256183.html,2023-03-31
江西省人大常委会党组副书记、副主任殷美根接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202303/t20230329_255543.html,2023-03-29
山东省政协党组成员、副主席孙述涛接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202303/t20230328_255300.html,2023-03-28
贵州省政协党组成员、原副主席李再勇接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202303/t20230327_255150.html,2023-03-27
中央统战部原副部长、国家宗教事务局原局长崔茂虎接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202303/t20230318_253596.html,2023-03-18
宁夏回族自治区党委原副书记、银川市委原书记姜志刚接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202303/t20230317_253376.html,2023-03-17
重庆市人大常委会原副主任、党组原副书记郑洪接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202303/t20230316_252950.html,2023-03-16
国家能源投资集团有限责任公司原党组成员、副总经理李东接受中央纪委国家监委纪律审查和监...,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202302/t20230208_245408.html,2023-02-08
辽宁省大连市政协主席、党组书记郝宏军接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202302/t20230205_244731.html,2023-02-05
湖南省政协党组成员、原副主席易鹏飞接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202302/t20230205_244732.html,2023-02-05
新疆生产建设兵团党委常委、副司令员焦小平接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202302/t20230205_244733.html,2023-02-05
山东省青岛市政协主席汲斌昌接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202301/t20230106_240133.html,2023-01-06
国家烟草专卖局原党组成员、副局长何泽华接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202301/t20230106_240135.html,2023-01-06
河北省人大常委会原副主任王雪峰接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202301/t20230106_240134.html,2023-01-06
广东省人大常委会副主任、党组副书记李春生接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202212/t20221208_235518.html,2022-12-08
贵州省政协副主席、党组副书记周建琨接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202211/t20221127_233379.html,2022-11-27
吉林省政协原副主席张晓霈接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202211/t20221125_233141.html,2022-11-25
西藏自治区人大常委会副主任纪国刚接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202211/t20221116_231279.html,2022-11-16
辽宁省沈阳市人大常委会主任付忠伟接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202211/t20221109_229619.html,2022-11-09
应急管理部消防救援局党委委员、副局长张福生接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202211/t20221106_229022.html,2022-11-06
中国人民银行党委委员、副行长范一飞接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202211/t20221105_228930.html,2022-11-05
工业和信息化部党组书记、部长肖亚庆同志接受中央纪委国家监委审查调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202207/t20220728_207936.html,2022-07-28
国家粮食和物资储备局原党组书记、局长张务锋接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202206/t20220615_199296.html,2022-06-15
辽宁省人大常委会副主任孙国相接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202206/t20220602_196933.html,2022-06-02
上海市人民检察院检察长张本才接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202206/t20220601_196568.html,2022-06-01
广东省人大常委会党组成员、副主任陈如桂接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/toutiaon/202206/t20220601_196264.html,2022-06-01
内蒙古自治区高级人民法院原党组书记、院长胡毅峰接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202204/t20220422_188001.html,2022-04-22
北京市政协副主席于鲁明接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202204/t20220416_186769.html,2022-04-16
辽宁省政协原副主席孙远良接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202204/t20220409_185096.html,2022-04-09
青海省委常委，省人大常委会副主任、党组书记李杰翔接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202204/t20220407_184645.html,2022-04-07
辽宁省副省长郝春荣接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202203/t20220329_180932.html,2022-03-29
原中国铁路总公司党组书记、总经理盛光祖配合中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202203/t20220325_180400.html,2022-03-25
云南省政协原党组成员、副主席黄毅接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202203/t20220324_179983.html,2022-03-24
十三届全国政协常委、社会和法制委员会主任沈德咏接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202203/t20220321_179180.html,2022-03-21
中央纪委国家监委驻国家安全部纪检监察组原组长刘彦平接受中央纪委国家监委纪律审查和监察调查,https://www.ccdi.gov.cn/scdcn/zggb/zjsc/202203/t20220312_177418.html,2022-03-12
